Timestamp,FilePath,FileName,SourceType,ScriptLine,ScriptColumn,TranspilerComponent,Environment,ObjectName,Severity,Category,Message,ScriptContext,Action
1683230542889,gs://dwh_test_bucket/1683230532824532960-ef1rouzyoquj8/preprocessed/sql_to_translate.txt,sql_to_translate.txt,SQL,0,14,TranspilerCompiler:compiler,Teradata: michael-gilbert-dev,,ERROR,RelationNotFound,No such relation 'mytable'.,SELECT * FROM {>HERE<}myTable WHERE column1 = '?????,"Check and update metadata files with complete set of databases, schemas and tables."
1683230542889,gs://dwh_test_bucket/1683230532824532960-ef1rouzyoquj8/preprocessed/sql_to_translate.txt,sql_to_translate.txt,SQL,1,29,TranspilerCompiler:compiler,Teradata: michael-gilbert-dev,,ERROR,RelationNotFound,No such relation 'mytable'.," SELECT column1, column2 FROM {>HERE<}myTable ORDER BY column1 ASC, ","Check and update metadata files with complete set of databases, schemas and tables."
1683230542889,gs://dwh_test_bucket/1683230532824532960-ef1rouzyoquj8/preprocessed/sql_to_translate.txt,sql_to_translate.txt,SQL,2,47,TranspilerCompiler:compiler,Teradata: michael-gilbert-dev,,ERROR,RelationNotFound,No such relation 'mytable'.," column2 AS concatenated FROM {>HERE<}myTable; ","Check and update metadata files with complete set of databases, schemas and tables."
